|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Hidden Context ActAvg,#Music Hidden ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,47,0,0,0,1,0.976,0.4167,0.1899,0.1345,0.09509,0.1543,0.1725,0.1899,0.15
0,48,0,0,0,1,0.9826,0.4168,0.1899,0.1344,0.09508,0.1544,0.1734,0.1899,0.15
0,49,0,0,0,1,0.9839,0.4169,0.1899,0.1342,0.09507,0.1545,0.1741,0.1899,0.15
0,50,0,0,0,1,0.9852,0.4181,0.1899,0.1344,0.09506,0.1538,0.1695,0.19,0.15
0,51,0,0,0,1,0.9829,0.418,0.1899,0.1342,0.09506,0.1539,0.1706,0.19,0.15
0,52,0,0,0,1,0.9854,0.418,0.1899,0.1341,0.09505,0.154,0.1716,0.19,0.15
0,53,0.01999,0.001999,0.1,0.9,0.9788,0.418,0.1899,0.1339,0.09505,0.1541,0.1725,0.19,0.15
0,54,0.1038,0.01894,0.1,0.9,0.9172,0.418,0.1899,0.1338,0.09504,0.1542,0.1733,0.19,0.15
0,55,0.1136,0.01962,0.1,0.9,0.9061,0.4138,0.1899,0.1335,0.09503,0.1535,0.1703,0.19,0.15
0,56,0.1183,0.02366,0.2,0.8,0.8837,0.4142,0.1899,0.1335,0.09503,0.1537,0.1713,0.19,0.15
0,57,0.1237,0.02474,0.2,0.8,0.885,0.4145,0.19,0.1335,0.09503,0.1539,0.1723,0.19,0.15
0,58,0,0,0,1,0.985,0.4149,0.19,0.1334,0.09502,0.154,0.1731,0.19,0.15
0,59,0.08024,0.01605,0.1,0.9,0.9274,0.4151,0.19,0.1333,0.09502,0.1541,0.1739,0.19,0.15
0,60,0.1532,0.03065,0.2,0.8,0.8704,0.4156,0.19,0.1336,0.09502,0.1538,0.1713,0.19,0.15
0,61,0.08447,0.01689,0.1,0.9,0.9238,0.4158,0.19,0.1335,0.09502,0.1539,0.1722,0.19,0.15
0,62,0.08445,0.01689,0.1,0.9,0.9279,0.416,0.19,0.1334,0.09501,0.1541,0.1731,0.19,0.15
0,63,0.1648,0.03296,0.2,0.8,0.8678,0.4162,0.19,0.1333,0.09501,0.1542,0.1738,0.19,0.15
