|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Shared Hidden ActAvg,#Music Hidden ActAvg,#Music Hidden Context ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,43,0.03769,0.003769,0.2,0.8,0.9343,0.4208,0.1898,0.1409,0.09515,0.1592,0.1502,0.1506,0.1899,0.15
0,44,0.03079,0.003079,0.2,0.8,0.9427,0.4206,0.1898,0.1407,0.09514,0.1589,0.1507,0.1511,0.1899,0.15
0,45,0,0,0,1,0.9467,0.4244,0.1898,0.1407,0.09511,0.1577,0.1472,0.1479,0.1899,0.15
0,46,0.02188,0.002188,0.1,0.9,0.9484,0.4238,0.1898,0.1406,0.0951,0.1582,0.1482,0.1487,0.1899,0.15
0,47,0.03614,0.003614,0.2,0.8,0.9442,0.4232,0.1898,0.1405,0.09509,0.1585,0.1491,0.1496,0.1899,0.15
0,48,0.01817,0.001817,0.1,0.9,0.9579,0.4227,0.1899,0.1404,0.09508,0.1589,0.1498,0.1503,0.1899,0.15
0,49,0.01725,0.001725,0.1,0.9,0.9634,0.4222,0.1899,0.1403,0.09507,0.1588,0.1503,0.1508,0.1899,0.15
0,50,0,0,0,1,0.9563,0.4247,0.1899,0.1403,0.09506,0.1574,0.1469,0.1476,0.19,0.15
0,51,0.03826,0.003826,0.2,0.8,0.9514,0.4241,0.1899,0.1402,0.09506,0.1578,0.1479,0.1484,0.19,0.15
0,52,0.01501,0.001501,0.1,0.9,0.9647,0.4235,0.1899,0.1401,0.09505,0.1582,0.1487,0.1492,0.19,0.15
0,53,0.01437,0.001437,0.1,0.9,0.9656,0.4229,0.1899,0.1401,0.09505,0.1586,0.1495,0.1499,0.19,0.15
0,54,0.05033,0.005033,0.3,0.7,0.9532,0.4224,0.1899,0.14,0.09504,0.1589,0.1501,0.1505,0.19,0.15
0,55,0.01443,0.001443,0.1,0.9,0.9709,0.4241,0.1899,0.1398,0.09503,0.1572,0.1468,0.1476,0.19,0.15
0,56,0.01503,0.001503,0.1,0.9,0.9704,0.4235,0.1899,0.1397,0.09503,0.1577,0.1477,0.1484,0.19,0.15
0,57,0.01327,0.001327,0.1,0.9,0.9684,0.423,0.1899,0.1397,0.09503,0.1581,0.1486,0.1491,0.19,0.15
0,58,0,0,0,1,0.9826,0.4225,0.1899,0.1397,0.09502,0.1584,0.1493,0.1498,0.19,0.15
0,59,0.04472,0.004472,0.3,0.7,0.9597,0.422,0.19,0.1396,0.09502,0.1586,0.1499,0.1504,0.19,0.15
0,60,0.01696,0.001696,0.1,0.9,0.9738,0.4194,0.19,0.1387,0.09502,0.1575,0.1467,0.1475,0.19,0.15
0,61,0.03974,0.003974,0.2,0.8,0.9578,0.4193,0.19,0.1388,0.09502,0.1579,0.1476,0.1482,0.19,0.15
0,62,0,0,0,1,0.9753,0.4191,0.19,0.1389,0.09501,0.1583,0.1484,0.149,0.19,0.15
0,63,0.01717,0.001717,0.1,0.9,0.9751,0.419,0.19,0.139,0.09501,0.1586,0.1491,0.1497,0.19,0.15
0,64,0.1272,0.01272,0.2,0.8,0.9152,0.4189,0.19,0.139,0.09501,0.159,0.1497,0.1503,0.19,0.15
0,65,0,0,0,1,0.9771,0.4154,0.19,0.1389,0.09501,0.1582,0.1463,0.1473,0.19,0.15
0,66,0.01507,0.001507,0.1,0.9,0.9717,0.4156,0.19,0.139,0.09501,0.1585,0.1473,0.1481,0.19,0.15
0,67,0,0,0,1,0.9806,0.4158,0.19,0.1391,0.09501,0.1589,0.1481,0.1489,0.19,0.15
0,68,0,0,0,1,0.9777,0.416,0.19,0.1392,0.09501,0.1592,0.1489,0.1496,0.19,0.15
0,69,0,0,0,1,0.9807,0.4162,0.19,0.1393,0.09501,0.1595,0.1496,0.1502,0.19,0.15
0,70,0,0,0,1,0.9842,0.4182,0.19,0.1392,0.09501,0.1582,0.1463,0.147,0.19,0.15
0,71,0,0,0,1,0.9802,0.4182,0.19,0.1393,0.095,0.1586,0.1473,0.1478,0.19,0.15
0,72,0.1981,0.02825,0.2,0.8,0.8431,0.4182,0.19,0.1393,0.095,0.1588,0.1481,0.1486,0.19,0.15
0,73,0.229,0.03973,0.3,0.7,0.8206,0.4181,0.19,0.1393,0.095,0.159,0.1488,0.1493,0.19,0.15
0,74,0.1572,0.02433,0.3,0.7,0.8856,0.4181,0.19,0.1393,0.095,0.1593,0.1495,0.15,0.19,0.15
0,75,0.208,0.04026,0.4,0.6,0.8238,0.426,0.19,0.1399,0.095,0.1583,0.1465,0.1488,0.19,0.15
0,76,0.01771,0.001771,0.1,0.9,0.9753,0.4252,0.19,0.14,0.095,0.1588,0.1475,0.1495,0.19,0.15
0,77,0,0,0,1,0.9752,0.4245,0.19,0.1401,0.095,0.1592,0.1484,0.1502,0.19,0.15
0,78,0.01743,0.001743,0.1,0.9,0.9791,0.4239,0.19,0.1401,0.095,0.1595,0.149,0.1507,0.19,0.15
0,79,0.01575,0.001575,0.1,0.9,0.9776,0.4233,0.19,0.1402,0.095,0.1598,0.1496,0.1511,0.19,0.15
0,80,0,0,0,1,0.9842,0.4251,0.19,0.1403,0.095,0.1596,0.1465,0.1477,0.19,0.15
0,81,0.0979,0.01821,0.1,0.9,0.913,0.4244,0.19,0.1404,0.095,0.1599,0.1474,0.1485,0.19,0.15
0,82,0,0,0,1,0.9873,0.4238,0.19,0.1405,0.095,0.1602,0.1483,0.1492,0.19,0.15
0,83,0.07283,0.01457,0.1,0.9,0.9315,0.4232,0.19,0.1406,0.095,0.1605,0.1491,0.1499,0.19,0.15
0,84,0.1078,0.01888,0.2,0.8,0.9129,0.4227,0.19,0.1406,0.095,0.1607,0.1497,0.1505,0.19,0.15
0,85,0.09697,0.01766,0.2,0.8,0.9203,0.4249,0.19,0.1407,0.095,0.1602,0.1467,0.1476,0.19,0.15
0,86,0,0,0,1,0.9893,0.4242,0.19,0.1408,0.095,0.1604,0.1476,0.1483,0.19,0.15
0,87,0.01292,0.001292,0.1,0.9,0.9863,0.4236,0.19,0.1408,0.095,0.1607,0.1484,0.1491,0.19,0.15
0,88,0,0,0,1,0.9883,0.423,0.19,0.1408,0.095,0.1609,0.1492,0.1498,0.19,0.15
0,89,0.0427,0.00854,0.1,0.9,0.9482,0.4225,0.19,0.1408,0.095,0.161,0.1498,0.1504,0.19,0.15
0,90,0,0,0,1,0.989,0.4255,0.19,0.1409,0.095,0.16,0.1466,0.1472,0.19,0.15
0,91,0.08529,0.01706,0.1,0.9,0.9279,0.4247,0.19,0.1409,0.095,0.1603,0.1476,0.148,0.19,0.15
0,92,0,0,0,1,0.9913,0.4241,0.19,0.1409,0.095,0.1606,0.1484,0.1488,0.19,0.15
0,93,0,0,0,1,0.9921,0.4235,0.19,0.1409,0.095,0.1608,0.1491,0.1495,0.19,0.15
0,94,0,0,0,1,0.9943,0.4229,0.19,0.1409,0.095,0.161,0.1498,0.1502,0.19,0.15
0,95,0,0,0,1,0.9947,0.4244,0.19,0.1408,0.095,0.16,0.1465,0.147,0.19,0.15
0,96,0,0,0,1,0.994,0.4237,0.19,0.1408,0.095,0.1603,0.1475,0.1478,0.19,0.15
0,97,0,0,0,1,0.9923,0.4232,0.19,0.1408,0.095,0.1606,0.1483,0.1486,0.19,0.15
0,98,0,0,0,1,0.9921,0.4227,0.19,0.1407,0.095,0.1608,0.149,0.1494,0.19,0.15
0,99,0,0,0,1,0.9958,0.4222,0.19,0.1407,0.095,0.161,0.1497,0.15,0.19,0.15
0,100,0.1312,0.02623,0.2,0.8,0.8931,0.4247,0.19,0.1408,0.095,0.1601,0.1465,0.1473,0.19,0.15
0,101,0,0,0,1,0.9958,0.424,0.19,0.1408,0.095,0.1604,0.1475,0.1481,0.19,0.15
0,102,0,0,0,1,0.9922,0.4234,0.19,0.1407,0.095,0.1606,0.1483,0.1489,0.19,0.15
0,103,0,0,0,1,0.9918,0.4229,0.19,0.1407,0.095,0.1608,0.1491,0.1497,0.19,0.15
0,104,0,0,0,1,0.9948,0.4224,0.19,0.1407,0.095,0.161,0.1497,0.1503,0.19,0.15
0,105,0,0,0,1,0.9966,0.4185,0.19,0.1402,0.095,0.16,0.1466,0.147,0.19,0.15
0,106,0.0618,0.01236,0.1,0.9,0.946,0.4185,0.19,0.1402,0.095,0.1603,0.1476,0.1478,0.19,0.15
0,107,0,0,0,1,0.9945,0.4184,0.19,0.1403,0.095,0.1606,0.1484,0.1487,0.19,0.15
0,108,0,0,0,1,0.995,0.4183,0.19,0.1403,0.095,0.1608,0.1492,0.1494,0.19,0.15
0,109,0,0,0,1,0.996,0.4183,0.19,0.1403,0.095,0.161,0.1498,0.1501,0.19,0.15
0,110,0,0,0,1,0.9964,0.4183,0.19,0.1402,0.095,0.1602,0.1467,0.1475,0.19,0.15
0,111,0,0,0,1,0.9883,0.4182,0.19,0.1402,0.095,0.1604,0.1476,0.1483,0.19,0.15
0,112,0,0,0,1,0.9965,0.4182,0.19,0.1402,0.095,0.1607,0.1484,0.149,0.19,0.15
0,113,0,0,0,1,0.9968,0.4181,0.19,0.1402,0.095,0.1609,0.1492,0.1497,0.19,0.15
0,114,0,0,0,1,0.9941,0.4181,0.19,0.1402,0.095,0.1611,0.1498,0.1503,0.19,0.15
0,115,0,0,0,1,0.9978,0.4181,0.19,0.1402,0.095,0.1603,0.1467,0.1478,0.19,0.15
0,116,0,0,0,1,0.9963,0.4181,0.19,0.1401,0.095,0.1605,0.1476,0.1485,0.19,0.15
0,117,0,0,0,1,0.9981,0.4181,0.19,0.1401,0.095,0.1607,0.1484,0.1492,0.19,0.15
0,118,0,0,0,1,0.9979,0.418,0.19,0.1401,0.095,0.1609,0.1492,0.1499,0.19,0.15
0,119,0,0,0,1,0.9961,0.418,0.19,0.1401,0.095,0.1611,0.1498,0.1505,0.19,0.15
0,120,0.078,0.0156,0.1,0.9,0.9387,0.4163,0.19,0.14,0.095,0.1602,0.1467,0.1478,0.19,0.15
0,121,0,0,0,1,0.9969,0.4164,0.19,0.14,0.095,0.1604,0.1476,0.1486,0.19,0.15
0,122,0,0,0,1,0.9973,0.4166,0.19,0.14,0.095,0.1606,0.1485,0.1493,0.19,0.15
0,123,0.059,0.0059,0.1,0.9,0.9597,0.4167,0.19,0.14,0.095,0.1609,0.1492,0.15,0.19,0.15
0,124,0.07378,0.01476,0.1,0.9,0.9341,0.4168,0.19,0.1399,0.095,0.161,0.1498,0.1505,0.19,0.15
0,125,0.1646,0.02291,0.1,0.9,0.885,0.4127,0.19,0.1396,0.095,0.1602,0.1467,0.1474,0.19,0.15
0,126,0.03284,0.003284,0.1,0.9,0.9715,0.4132,0.19,0.1397,0.095,0.1605,0.1476,0.1482,0.19,0.15
0,127,0,0,0,1,0.9886,0.4137,0.19,0.1399,0.095,0.1609,0.1485,0.149,0.19,0.15
0,128,0,0,0,1,0.9901,0.4141,0.19,0.14,0.095,0.1612,0.1493,0.1498,0.19,0.15
0,129,0.1202,0.02083,0.1,0.9,0.9148,0.4144,0.19,0.1401,0.095,0.1614,0.1499,0.1504,0.19,0.15
0,130,0,0,0,1,0.9939,0.4136,0.19,0.1406,0.095,0.1609,0.1467,0.148,0.19,0.15
0,131,0.04399,0.004399,0.1,0.9,0.9676,0.414,0.19,0.1407,0.095,0.1613,0.1476,0.1488,0.19,0.15
0,132,0,0,0,1,0.9933,0.4144,0.19,0.1407,0.095,0.1616,0.1485,0.1495,0.19,0.15
0,133,0,0,0,1,0.9927,0.4147,0.19,0.1407,0.095,0.1618,0.1493,0.1502,0.19,0.15
0,134,0,0,0,1,0.995,0.415,0.19,0.1408,0.095,0.162,0.1498,0.1507,0.19,0.15
0,135,0,0,0,1,0.9948,0.4148,0.19,0.1416,0.095,0.1617,0.1467,0.1483,0.19,0.15
0,136,0,0,0,1,0.9921,0.4151,0.19,0.1415,0.095,0.1619,0.1477,0.1491,0.19,0.15
0,137,0.1656,0.02488,0.1,0.9,0.8789,0.4154,0.19,0.1415,0.095,0.1621,0.1486,0.1499,0.19,0.15
0,138,0.1589,0.02098,0.2,0.8,0.8933,0.4156,0.19,0.1413,0.095,0.1622,0.1493,0.1505,0.19,0.15
0,139,0.08661,0.01732,0.1,0.9,0.93,0.4158,0.19,0.1413,0.095,0.1624,0.1499,0.151,0.19,0.15
0,140,0.01436,0.001436,0.1,0.9,0.9834,0.415,0.19,0.1419,0.095,0.162,0.1466,0.1483,0.19,0.15
0,141,0,0,0,1,0.9938,0.4153,0.19,0.1418,0.095,0.1622,0.1476,0.149,0.19,0.15
0,142,0,0,0,1,0.9948,0.4155,0.19,0.1417,0.095,0.1624,0.1485,0.1498,0.19,0.15
0,143,0,0,0,1,0.996,0.4157,0.19,0.1417,0.095,0.1626,0.1493,0.1505,0.19,0.15
0,144,0,0,0,1,0.9959,0.4159,0.19,0.1416,0.095,0.1628,0.1498,0.1509,0.19,0.15
0,145,0,0,0,1,0.9967,0.417,0.19,0.1416,0.095,0.1619,0.1468,0.1479,0.19,0.15
0,146,0,0,0,1,0.9896,0.4171,0.19,0.1415,0.095,0.1621,0.1478,0.1487,0.19,0.15
0,147,0.0581,0.01162,0.1,0.9,0.9468,0.4171,0.19,0.1414,0.095,0.1622,0.1487,0.1495,0.19,0.15
0,148,0.0235,0.00235,0.1,0.9,0.982,0.4172,0.19,0.1412,0.095,0.1623,0.1495,0.1503,0.19,0.15
0,149,0,0,0,1,0.9942,0.4172,0.19,0.1411,0.095,0.1624,0.1501,0.1508,0.19,0.15
0,150,0.09777,0.01685,0.1,0.9,0.9229,0.4124,0.19,0.1404,0.095,0.161,0.1471,0.1481,0.19,0.15
0,151,0.01974,0.001974,0.1,0.9,0.9824,0.4129,0.19,0.1405,0.095,0.1613,0.1481,0.1489,0.19,0.15
0,152,0.2157,0.02981,0.2,0.8,0.8637,0.4134,0.19,0.1406,0.095,0.1615,0.1491,0.1498,0.19,0.15
0,153,0,0,0,1,0.9898,0.4138,0.19,0.1408,0.095,0.1618,0.1497,0.1504,0.19,0.15
0,154,0.1466,0.02932,0.2,0.8,0.8713,0.4142,0.19,0.1409,0.095,0.1617,0.1503,0.1509,0.19,0.15
0,155,0,0,0,1,0.9909,0.4113,0.19,0.1406,0.095,0.1608,0.1471,0.148,0.19,0.15
0,156,0.1109,0.01992,0.2,0.8,0.9181,0.4119,0.19,0.1408,0.095,0.1612,0.1481,0.1489,0.19,0.15
0,157,0.1239,0.02123,0.1,0.9,0.9158,0.4125,0.19,0.141,0.095,0.1615,0.149,0.1497,0.19,0.15
0,158,0.1121,0.02004,0.1,0.9,0.9203,0.413,0.19,0.1413,0.095,0.162,0.1498,0.1504,0.19,0.15
0,159,0.1908,0.03425,0.2,0.8,0.8472,0.4135,0.19,0.1414,0.095,0.1619,0.1503,0.1509,0.19,0.15
0,160,0.1367,0.02244,0.1,0.9,0.8991,0.4131,0.19,0.1415,0.095,0.1607,0.147,0.1484,0.19,0.15
0,161,0.2065,0.03722,0.3,0.7,0.8493,0.4135,0.19,0.1417,0.095,0.1612,0.1481,0.1493,0.19,0.15
0,162,0.08574,0.01715,0.1,0.9,0.9321,0.4139,0.19,0.1418,0.095,0.1616,0.149,0.1501,0.19,0.15
0,163,0.08426,0.01685,0.1,0.9,0.9345,0.4143,0.19,0.1418,0.095,0.1619,0.1497,0.1508,0.19,0.15
0,164,0.1502,0.03004,0.2,0.8,0.8781,0.4146,0.19,0.1418,0.095,0.1619,0.1503,0.1513,0.19,0.15
0,165,0,0,0,1,0.9958,0.4163,0.19,0.1412,0.095,0.1605,0.1472,0.1481,0.19,0.15
0,166,0,0,0,1,0.9962,0.4165,0.19,0.1413,0.095,0.1609,0.1482,0.149,0.19,0.15
0,167,0,0,0,1,0.997,0.4166,0.19,0.1413,0.095,0.1613,0.1492,0.1499,0.19,0.15
0,168,0,0,0,1,0.9965,0.4167,0.19,0.1414,0.095,0.1616,0.15,0.1507,0.19,0.15
0,169,0,0,0,1,0.9973,0.4168,0.19,0.1413,0.095,0.1615,0.1505,0.1512,0.19,0.15
0,170,0,0,0,1,0.9969,0.4193,0.19,0.141,0.095,0.1603,0.1475,0.1481,0.19,0.15
0,171,0,0,0,1,0.9972,0.4192,0.19,0.1411,0.095,0.1607,0.1485,0.149,0.19,0.15
0,172,0,0,0,1,0.9973,0.419,0.19,0.1411,0.095,0.1611,0.1495,0.15,0.19,0.15
0,173,0,0,0,1,0.9973,0.4189,0.19,0.1411,0.095,0.1613,0.1502,0.1507,0.19,0.15
0,174,0,0,0,1,0.9977,0.4188,0.19,0.141,0.095,0.1609,0.1507,0.1512,0.19,0.15
0,175,0,0,0,1,0.9976,0.416,0.19,0.1403,0.095,0.1599,0.1475,0.148,0.19,0.15
0,176,0,0,0,1,0.998,0.4162,0.19,0.1404,0.095,0.1604,0.1486,0.149,0.19,0.15
0,177,0,0,0,1,0.998,0.4163,0.19,0.1405,0.095,0.1608,0.1495,0.1499,0.19,0.15
0,178,0,0,0,1,0.9982,0.4165,0.19,0.1405,0.095,0.1609,0.1502,0.1506,0.19,0.15
0,179,0,0,0,1,0.9981,0.4166,0.19,0.1404,0.095,0.1606,0.1508,0.1511,0.19,0.15
0,180,0,0,0,1,0.9979,0.4152,0.19,0.1401,0.095,0.1596,0.1477,0.1479,0.19,0.15
0,181,0,0,0,1,0.9982,0.4154,0.19,0.1402,0.095,0.1601,0.1487,0.1488,0.19,0.15
0,182,0,0,0,1,0.9982,0.4156,0.19,0.1403,0.095,0.1606,0.1496,0.1498,0.19,0.15
0,183,0,0,0,1,0.9985,0.4158,0.19,0.1403,0.095,0.1606,0.1503,0.1505,0.19,0.15
0,184,0,0,0,1,0.9983,0.416,0.19,0.1403,0.095,0.1604,0.1509,0.151,0.19,0.15
0,185,0,0,0,1,0.998,0.4172,0.19,0.14,0.095,0.159,0.1477,0.1479,0.19,0.15
0,186,0,0,0,1,0.9983,0.4172,0.19,0.1401,0.095,0.1595,0.1487,0.1489,0.19,0.15
0,187,0,0,0,1,0.9981,0.4173,0.19,0.1401,0.095,0.16,0.1497,0.1498,0.19,0.15
0,188,0,0,0,1,0.9987,0.4173,0.19,0.1401,0.095,0.1601,0.1503,0.1505,0.19,0.15
