|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Letter Input ActAvg,#Music Input ActAvg,#Letter Hidden ActAvg,#Letter Output ActAvg,#Shared Hidden ActAvg,#Music Hidden ActAvg,#Music Hidden Context ActAvg,#Music Output ActAvg,#Associator Layer ActAvg
0,43,0,0,0,1,0.9808,0.414,0.1898,0.1441,0.09515,0.1671,0.1513,0.1512,0.1899,0.2419
0,44,0,0,0,1,0.9713,0.4144,0.1898,0.1441,0.09514,0.1672,0.152,0.1518,0.1899,0.2417
0,45,0.01612,0.001612,0.1,0.9,0.9638,0.4124,0.1898,0.1441,0.09511,0.1663,0.1485,0.1486,0.1899,0.2433
0,46,0,0,0,1,0.9693,0.4129,0.1898,0.1444,0.0951,0.1674,0.1497,0.1496,0.1899,0.243
0,47,0.01506,0.001506,0.1,0.9,0.9726,0.4134,0.1898,0.1445,0.09509,0.1679,0.1506,0.1506,0.1899,0.2427
0,48,0,0,0,1,0.9734,0.4138,0.1899,0.1445,0.09508,0.1679,0.1513,0.1513,0.1899,0.2424
0,49,0,0,0,1,0.9803,0.4142,0.1899,0.1444,0.09507,0.168,0.1519,0.152,0.1899,0.2422
0,50,0.02003,0.002003,0.1,0.9,0.9666,0.4122,0.1899,0.1444,0.09506,0.1668,0.1484,0.1488,0.19,0.2435
0,51,0,0,0,1,0.9791,0.4127,0.1899,0.1446,0.09506,0.1678,0.1496,0.1498,0.19,0.2432
0,52,0,0,0,1,0.9832,0.4132,0.1899,0.1447,0.09505,0.1682,0.1505,0.1508,0.19,0.2429
0,53,0,0,0,1,0.9831,0.4137,0.1899,0.1446,0.09505,0.1681,0.1512,0.1515,0.19,0.2426
0,54,0,0,0,1,0.9839,0.4141,0.1899,0.1445,0.09504,0.1681,0.1518,0.1521,0.19,0.2424
0,55,0.1019,0.01404,0.3,0.7,0.9117,0.4196,0.1899,0.1445,0.09503,0.1666,0.1485,0.1489,0.19,0.2431
0,56,0,0,0,1,0.9765,0.4194,0.1899,0.1446,0.09503,0.1676,0.1497,0.15,0.19,0.2428
0,57,0.01495,0.001495,0.1,0.9,0.9785,0.4193,0.1899,0.1445,0.09503,0.168,0.1505,0.1509,0.19,0.2426
0,58,0.0135,0.00135,0.1,0.9,0.9794,0.4191,0.1899,0.1443,0.09502,0.1679,0.1512,0.1515,0.19,0.2424
0,59,0,0,0,1,0.9843,0.419,0.19,0.1442,0.09502,0.1679,0.1518,0.1521,0.19,0.2422
0,60,0,0,0,1,0.9773,0.4237,0.19,0.1443,0.09502,0.1664,0.1485,0.149,0.19,0.2429
0,61,0,0,0,1,0.9808,0.4231,0.19,0.1443,0.09502,0.1674,0.1496,0.15,0.19,0.2426
0,62,0,0,0,1,0.988,0.4226,0.19,0.1443,0.09501,0.1678,0.1505,0.1509,0.19,0.2424
0,63,0,0,0,1,0.9888,0.4221,0.19,0.1441,0.09501,0.1678,0.1511,0.1515,0.19,0.2423
0,64,0,0,0,1,0.9885,0.4217,0.19,0.144,0.09501,0.1678,0.1518,0.1521,0.19,0.2421
0,65,0,0,0,1,0.9815,0.4224,0.19,0.1439,0.09501,0.1665,0.1484,0.1487,0.19,0.2427
0,66,0,0,0,1,0.9849,0.422,0.19,0.144,0.09501,0.1675,0.1496,0.1497,0.19,0.2425
0,67,0,0,0,1,0.9883,0.4216,0.19,0.144,0.09501,0.168,0.1504,0.1506,0.19,0.2423
0,68,0,0,0,1,0.9898,0.4212,0.19,0.1438,0.09501,0.1679,0.1511,0.1513,0.19,0.2422
0,69,0,0,0,1,0.9907,0.4209,0.19,0.1437,0.09501,0.1679,0.1517,0.1519,0.19,0.242
0,70,0,0,0,1,0.9864,0.4218,0.19,0.1435,0.09501,0.1663,0.1484,0.1486,0.19,0.2428
0,71,0.1629,0.0208,0.1,0.9,0.8516,0.4214,0.19,0.1436,0.095,0.1673,0.1495,0.1496,0.19,0.2426
0,72,0,0,0,1,0.9877,0.421,0.19,0.1436,0.095,0.1678,0.1504,0.1506,0.19,0.2424
0,73,0,0,0,1,0.9854,0.4207,0.19,0.1436,0.095,0.1678,0.1511,0.1513,0.19,0.2423
0,74,0,0,0,1,0.9877,0.4205,0.19,0.1435,0.095,0.1678,0.1518,0.152,0.19,0.2421
0,75,0,0,0,1,0.9801,0.423,0.19,0.1435,0.095,0.1662,0.1485,0.1493,0.19,0.242
0,76,0,0,0,1,0.9835,0.4225,0.19,0.1436,0.095,0.1672,0.1496,0.1503,0.19,0.2419
0,77,0,0,0,1,0.9881,0.422,0.19,0.1436,0.095,0.1676,0.1505,0.1511,0.19,0.2418
0,78,0.02591,0.002591,0.1,0.9,0.9776,0.4216,0.19,0.1435,0.095,0.1676,0.1512,0.1518,0.19,0.2417
0,79,0,0,0,1,0.9913,0.4213,0.19,0.1434,0.095,0.1676,0.1519,0.1524,0.19,0.2417
0,80,0,0,0,1,0.9847,0.4143,0.19,0.1428,0.095,0.1669,0.1497,0.1492,0.19,0.2416
0,81,0,0,0,1,0.9904,0.4147,0.19,0.1429,0.095,0.1673,0.1507,0.1502,0.19,0.2416
0,82,0,0,0,1,0.9924,0.415,0.19,0.1429,0.095,0.1673,0.1514,0.151,0.19,0.2415
0,83,0,0,0,1,0.9935,0.4152,0.19,0.1429,0.095,0.1673,0.152,0.1517,0.19,0.2415
0,84,0,0,0,1,0.9927,0.4155,0.19,0.1429,0.095,0.1673,0.1526,0.1523,0.19,0.2414
0,85,0,0,0,1,0.9865,0.411,0.19,0.1426,0.095,0.1663,0.15,0.1488,0.19,0.2428
